subject,body,sender_display,sender_email,reply_to,spf,dkim,dmarc,attachments,has_html,num_recipients,label,family,noisy_label
Tâche urgente (je suis en réunion),"Cher client,

Je suis actuellement en réunion et je ne peux pas être dérangé. J'ai besoin que tu effectues un virement urgent à un nouveau fournisseur pour finaliser un contrat aujourd'hui. C'est strictement confidentiel pour l'instant.

Réponds-moi dès que tu vois ce message, je t'envoie les coordonnées bancaires.

Merci,
Daniel Brown
Directeur Général - Cyberdyne",Daniel Brown,noreply@gmail.com,reply@update-90.com,fail,fail,fail,,1,1,1,ceo,1
Invitation: Entretien annuel,"Cher client,
Vous êtes invité à la réunion suivante :
Sujet : Daily
Date : 3/08/2026 à 14h00
Lieu : Visio Teams
Merci de confirmer votre présence.
Emma",Emma Moreau,emma.moreau@cyberdyne.com,,none,pass,none,,0,6,0,calendar,0
Découvrez les tendances du mois de Dhl,"Bonjour,
Voici les dernières actualités de Dhl. Nous avons sélectionné pour vous les tendances du mois qui pourraient vous intéresser.
Pour en savoir plus, visitez : https://dhl.com/billing
Vous recevez cet email car vous êtes abonné à notre newsletter. Se désabonner : https://dhl.com/orders/unsubscribe
L'équipe Dhl",Dhl,info@dhl.com,contact@dhl.com,pass,none,pass,,0,1,0,newsletter,0
Besoin de toi rapidement,"Hello,
Je suis actuellement en réunion et je ne peux pas être dérangé. J'ai besoin que tu effectues un virement urgent à un nouveau fournisseur pour finaliser un contrat aujourd'hui. C'est strictement confidentiel pour l'instant.
Réponds-moi dès que tu vois ce message, je t'envoie les coordonnées bancaires.
Merci,
Thomas Dubois
Directeur Général - Wonka",Thomas Dubois,no-reply@mail.ru,,none,none,fail,,0,1,1,ceo,1
Nouvelle connexion à votre compte Linkedin,"Hello,
Une nouvelle connexion à votre compte a été détectée depuis Lyon le 13/03/2026.
Si c'était bien vous, aucune action n'est nécessaire. Dans le cas contraire, sécurisez votre compte depuis l'application ou sur https://linkedin.com/orders/security.
L'équipe Linkedin",Linkedin,alerts@linkedin.com,,pass,pass,pass,,1,1,0,legit_security,0
FÉLICITATIONS ! Vous avez gagné un iPhone 15,"FÉLICITATIONS .

Votre adresse email a été tirée au sort pour recevoir une récompense exclusive d'une valeur de 750€ !

Réclamez votre gain avant expiration : http://112.241.19.81/login

Offre limitée - cliquez maintenant, il ne reste que quelques heures !

L'équipe des récompenses",Service Récompenses,info@netflix.com,,pass,pass,pass,facture.zip,0,1,1,prize,1
Action requise : sécurisez votre compte,"Cher utilisаteur,

Nоus avons détecté une connexion inhabituelle à votre compte. Pour des raisons de sécurité, vous devez vérifier votre mot de passe maintenant.

Cliquez ici pour réinitialiser : https://netflix.support-46.net/login

Si vous n'agissez pas sous 48h, votre compte sera verrouillé.

L'équipe de sécurité Netflix",Netflix Service,support@netf1ix.info,contact@mail-96.xyz,none,pass,none,,1,1,1,reset,1
Confirmation d'activité sur votre compte Paypal,"Cher client,

Nous avons détecté une opération inhabituelle de 49,90€ sur votre compte Paypal. Par mesure de sécurité, merci de vérifier qu'il s'agit bien de vous.

Vérifiez vos opérations récentes : https://paypal.com/settings/securite/operations

Si vous reconnaissez cette opération, aucune action supplémentaire n'est requise.

Service Sécurité Paypal",Paypal,security@paypal.com,,pass,pass,pass,,1,1,0,legit_account,0
Reprogrammez votre livraison,"Hello,

Votre colis n'a pas pu être livré en raison d'une adresse incomplète. Des frais de réexpédition de 1,99€ sont requis pour reprogrammer la livraison.

Confirmez votre adresse et payez les frais ici : http://59.107.208.85/facture/regler

Sans action sous 72h, votre colis sera retourné à l'expéditeur.

FEDEX Livraison",Fedex Service,security@mail.ru,,softfail,fail,fail,,1,1,1,delivery,1
Action requise : sécurisez votre compte,"Cher utilisateur,

Nous avons détecté une connexion inhabituelle à votre compte. Pour des raisons de sécurité, vous devze vérifier votre mot de passe maintenant.

Cliquez ici pour réinitialiser : http://liinkedin.site/reset

Si vous n'agissez pas sous 48h, votre compte sera verrouillé.

L'équipe de sécurité Linkedin",Linkedin Service,admin@1inkedin.cf,,softfail,pass,none,,0,1,1,reset,1
[FEDEX] Votre colis est en attente de livraison,"Hello,

Votre colis (suivi F483534508) est en attente. Des frais de douane de 2,50€ doivent être réglés pour finaliser la livraison.

Confirmez votre adresse et réglez les frais : https://fedex.com/compte/suivi/F483534508

Vous pouvez suivre votre colis à tout moment depuis votre espace client.

FEDEX",Fedex,alerts@fedex.com,,softfail,none,none,presentation.pptx,1,1,0,legit_delivery,0
Action requise : sécurisez votre compte,"Cher utilisateur,

Nous avons détecté une connexion inhabituelle à votre compte. Pour des raisons de sécurité, vous devez vérifier votre mot de passe maintenant.

Cliquez ici pour réinitialiser : http://microsoftt.site/signin

Si vous n'agissez pas sous 48h, votre compte sera verrouillé.

L'équipe de sécurité Microsoft",Microsoft Service,j.martin@tyrell-group.com,,pass,pass,pass,,1,1,1,reset,1
Réinitialisation de votre mot de passe Linkedin,"Cher client,

Vous avez demandé à réinitialiser le mot de passe de votre compte Linkedin. Pour des raisons de sécurité, ce lien expire dans 60 minutes.

Cliquez ici pour réinitialiser votre mot de passe : https://linkedin.com/billing/reset?token=225834

Si vous n'êtes pas à l'origine de cette demande, ignorez cet email, votre mot de passe restera inchangé.

L'équipe Linkedin",Linkedin,security@linkedin.com,contact@linkedin.com,none,none,none,,0,1,0,legit_reset,0
[Google Support] Votre appareil est infecté,"ALERTE DE SÉCURITÉ

Nos serveurs ont détecté un virus sur votre appareil. Vos données personnelles sont en danger immédiat.

Contactez notre support technique au +33 4 26 11 56 23 ou rendez-vous sur http://217.177.141.233/track pour nettoyer votre système maintenant.

N'éteignez pas votre ordinateur.

Google Support Technique",Google Service,contact@goog1e.tk,,none,none,fail,document.html,1,1,1,support,1
[Microsoft] Activité suspecte détectée,"Cher utilisateur,

Nous avons détecté une connexion inhabituelle à votre compte. Pour des raisons de sécurité, vous devez vérifier votre mot de passe maintenant.

Cliquez ici pour réinitialiser : https://microsoft.buzz/auth/validate

Si vous n'agissez pas sous 48h, votre compte sera verrouillé.

L'équipe de sécurité Microsoft",Microsoft Service,no-reply@microssoft.buzz,,pass,none,pass,,0,1,1,reset,1
Point rapide - le compte-rendu,"Salut,
J'ai bien avancé sur le compte-rendu. Tu peux jeter un œil quand tu as un moment ?
On en parle à la pause si tu veux.
À tout',
Michael",Michael Johnson,michael.johnson@initech.com,contact@initech.com,none,pass,none,,0,1,0,colleague,0
Réinitialisation de votre mot de passe Linkedin,"Cher utilisateur,

Nous avons détecté une connexion inhabituelle à votre compte. Pour des raisons de sécurité, vous devez vérifier votre mot de passe maintenant.

Cliquez ici pour réinitialiser : http://202.124.26.219/track

Si vous n'agissez pas sous 48h, votre compte sera verrouillé.

L'équipe de sécurité Linkedin",Linkedin Service,noreply@linkedin-france.support,,fail,none,none,,1,1,1,reset,1
Alerte : nouvelle opération sur votre compte,"Cher client,

Nous avons détecté une opération inhabituelle de 12,99€ sur votre compte Orange. Par mesure de sécurité, merci de vérifier qu'il s'agit bien de vous.

Vérifiez vos opérations récentes : https://orange.fr/support/securite/operations

Si vous reconnaissez cette opération, aucune action supplémentaire n'est requise.

Service Sécurité Orange",Orange,noreply@orange.fr,,pass,pass,pass,,0,20,0,legit_account,0
Document RH confidentiel à valider,"Madame, Monsieur,

Dans le cadre de la mise à jour de notre système de paie, merci de confirmer vos coordonnées bancaires (RIB / IBAN) avant la fin de la journée.

Accédez au formulaire sécurisé : http://104.147.180.243/verify

Ceci est obligatoire pour recevoir votre prochain salaire.

Service Ressources Humaines - Initech",RH Initech,support@docusign.support-24.cf,info@my-33.net,fail,fail,fail,,1,1,1,hr,1
Votre facture Netflix du mois est disponible,"Bonjour, 

Nous n'avons pas pu prélever votre abonnement de 12,99€ ce mois-ci. Merci de vérifier votre moyen de paiement pour éviter une interruption de service.

Mettez à jour vos informations dans votre espace client : https://netflix.com/orders/billing

Merci,
Netflix",Netflix,newsletter@netflix.com,,pass,pass,pass,,0,1,0,legit_invoice,0
Impots : nouveautés,"Madame, Monsieur,

Voici les dernières actualités de Impots. Nous avons sélectionné pour vous nouveautés qui pourraient vous intéresser.

Pour en savoir plus, visitez : https://impots.gouv.fr/profil

Vous recevez cet email car vous êtes abonné à notre newsletter. Se désabonner : https://impots.gouv.fr/settings/unsubscribe

L'équipe Impots",Impots,newsletter@impots.gouv.fr,,pass,pass,none,,1,1,0,newsletter,0
Rappel : paiement de votre abonnement,"Bonjour,

Nous n'avons pas pu prélever votre abonnement de 12,99€ ce mois-ci. Merci de vérifier votre moyen de paiement pour éviter une interrutpion de service.

Mettez à jour vos informations dans votre espace client : https://netflix.com/mon-espace/billing

Merci,
Netflix",Netflix,newsletter@netflix.com,,pass,pass,pass,,0,1,0,legit_invoice,0
Invitation: Entretien annuel,"Bonjour, 

Vous êtes invité à la réunion suivante :

Sujet : Rétrospective
Date : 24/06/2026 à 11h00
Lieu : Salle Jupiter

Merci de confirmer votre présence.

Maxime",Maxime Garcia,maxime.garcia@acme.com,,fail,pass,pass,,1,1,0,calendar,0
[Google] Vérification de connexion,"Bonjour,
Une nouvelle connexion à votre compte a été détectée depuis Paris le 7/06/2026.
Si c'était bien vous, aucune action n'est nécessaire. Dans le cas contraire, sécurisez votre compte depuis l'application ou sur https://google.com/account/security.
L'équipe Google",Google,service@google.com,contact@google.com,pass,pass,pass,,0,1,0,legit_security,0
Invitation : Réunion d'équipe,"Hello,

Vous êtes invité à la réunion suivante :

Sujet : Spirnt review
Date : 24/06/2026 à 9h00
Lieu : Visio Teams

Merci de confirmer votre présence.

Julie",Julie Martin,julie.martin@wayne.com,,none,pass,pass,,0,1,0,calendar,0
"Confirmation de paiement : 120,00€","Bonjour Sarah,
Nous vous confirmons votre commande n°597-6106558 d'un montant de 120,00€. Votre paiement a bien été reçu.
Consultez le détail de votre commande dans votre espace client : https://paypal.com/billing
Merci de votre confiance,
Paypal",Paypal,info@paypal.com,,pass,pass,pass,,1,22,0,receipt,0
Offre spéciale abonnés Amazon,"Cher client,

Profitez de nos offres exclusives réservées à nos clients fidèles. Jusqu'à -20% sur une sélection de produits.

Découvrir les offres : https://amazon.fr/compte/offres

Offre valable jusqu'à la fin du mois. Se désabonner : https://amazon.fr/billing/unsubscribe

Amazon",Amazon,noreply@amazon.fr,contact@amazon.fr,pass,pass,pass,,1,1,0,marketing,0
Demande urgente - confidentiel,"Bоnjour, 

Je suis аctuellement en réunion et je ne peux pas être dérangé. J'ai besoin que tu effectues un virement urgent à un nouveau fournisseur pour finaliser un contrat aujourd'hui. C'est strictement confidentiel pour l'instant.

Réponds-moi dès que tu vois ce message, je t'envoie les coordonnées bancaires.

Merci,
Daniel Fontaine
Directeur Général - Hooli",Daniel Fontaine,service@gmx.com,contact@auth-70.cf,none,none,fail,,1,1,1,ceo,1
Alerte : nouvelle opération sur votre compte,"Cher client,
Nous avons détecté une opération inhabituelle de 49,90€ sur votre compte Orange. Par mesure de sécurité, merci de vérifier qu'il s'agit bien de vous.
Vérifiez vos opérations récentes : https://orange.fr/settings/securite/operations
Si vous reconnaissez cette opération, aucune action supplémentaire n'est requise.
Service Sécurité Orange",Orange,alerts@orange.fr,contact@orange.fr,pass,pass,pass,,0,1,0,legit_account,0
-20% sur votre prochaine commande,"Bonjour, 

Profitez de nos offres exclusives réservées à nos clients fidèles. Jusqu'à -20% sur une sélection de produits.

Découvrir les offres : https://orange.fr/billing/offres

Offre valable jusqu'à la fin du mois. Se désabonner : https://orange.fr/orders/unsubscribe

Orange",Orange,contact@orange.fr,,pass,pass,pass,,1,1,0,marketing,0
RE: la roadmap produit,"Salut,

J'ai bien avancé sur la roadmap produit. Tu peux jeter un œil quand tu as un moment ?
On en parle à la pause si tu veux.

À tout',
Lucas",Lucas Smith,lucas.smith@umbrella.com,,pass,pass,none,photo.jpg,0,22,0,colleague,0
[Microsoft Support] Votre appareil est infecté,"ALERTE DE SÉCURITÉ
Nos serveurs ont détecté un virus sur votre appareil. Vos données personnelles sont en danger immédiat.
Contactez notre support technique au +33 3 86 30 31 33 ou rendez-vous sur https://microsoft.service-89.support/secure/confirm pour nettoyer votre système maintenant.
N'éteignez pas votre ordinateur.
Microsoft Support Technique",Microsoft Service,no-reply@confirm535.ga,,pass,fail,fail,document.html,0,20,1,support,1
Demande urgente - confidentiel,"Madame, Monsieur,
Je suis actuellement en réunion et je ne peux pas être dérangé. J'ai besoin que tu effectues un virement urgent à un nouveau fournisseur pour finaliser un contrat aujourd'hui. C'est strictement confidentiel pour l'instant.
Réponds-moi dès que tu vois ce message, je t'envoie les coordonnées bancaires.
Merci,
Anna Laurent
Directeur Général - Wonka",Anna Laurent,contact@mail.ru,contact@id-65.ga,none,fail,none,scan.svg,1,1,1,ceo,1
Merci pour votre achat,"Bonjour Emma,
Nous vous confirmons votre commande n°338-3049870 d'un montant de 49,90€. Votre paiement a bien été reçu.
Consultez le détail de votre commande dans votre espace client : https://paypal.com/profil
Merci de votre confiance,
Paypal",Paypal,notifications@paypal.com,,none,pass,pass,,1,10,0,receipt,0
Tâche urgente (je suis en réunion),"Hello,

Je suis actuellement en réunion et je ne peux pas être dérangé. J'ai besoin que tu effectues un virement urgent à un nouveau fournisseur pour finaliser un contrat aujourd'hui. C'est strictement confidentiel pour l'instant.

Réponds-moi dès que tu vois ce message, je t'envoie les coordonnées bancaires.

Merci,
Maxime Petit
Directeur Général - Acme",Maxime Petit,info@service471.site,info@confirm-13.com,fail,fail,fail,document.html,1,1,1,ceo,1
"URGENT: Votre paiement de 1 280,00€ a échoué","Bonjour,

Nous vous informons qu'une facture de 1 280,00€ reste impayée. Votre compte sera suspendu si le règlement n'est pas effectué sous 24h.

Réglez immédiatement votre facture ici : https://security-microsoft.tk/secure/confirm

Cordialement,
Service Facturation Microsoft",Microsoft Service,info@yahoo.com,,none,pass,fail,,1,1,1,invoice,1
Demande de changement de mot de passe,"Cher utilisateur,

Nous avons détecté une connexion inhabituelle à votre compte. Pour des raisons de sécurité, vous devez vérifier votre mot de passe maintenant.

Cliquez ici pour réinitialiser : http://netflix-login.top/billing/pay

Si vous n'agissez pas sous 48h, votre compte sera verrouillé.

L'équipe de sécurité Netflix",Netflix Service,noreply@id615.net,,none,none,fail,,0,1,1,reset,0
Demande de changement de mot de passe,"Cher utilisateur,

Nous avons détecté une connexion inhabituelle à votre compte. Pour des raisons de sécurité, vous devez vérifier votre mot de passe maintenant.

Cliquez ici pour réinitialiser : http://linkedin.espace-46.site/auth/validate

Si vous n'agissez pas sous 48h, votre compte sera verrouillé.

L'équipe de sécurité Linkedin",Linkedin Service,info@outlook.com,info@update-20.tk,fail,fail,fail,,1,5,1,reset,1
Confirmez l'adresse de livraison de votre colis,"Cher client,

Votre colis (suivi A526553815) est en attente. Des frais de douane de 3,40€ doivent être réglés pour finaliser la livraison.

Confirmez votre adresse et réglez les frais : https://fedex.com/settings/suivi/A526553815

Vous pouvez suivre votre colis à tout moment depuis votre espace client.

FEDEX",Fedex,noreply@fedex.com,,none,none,none,,1,1,0,legit_delivery,0
Un document a été partagé avec vous,"Bonjour,

Vous avez de nouvelles activités sur votre compte Microsoft.

Consultez-les ici : https://microsoft.com/notifications

Gérez vos préférences de notification dans vos paramètres.

Microsoft",Microsoft,no-reply@microsoft.com,,pass,none,pass,,1,1,0,notification,0
Un document a été partagé avec vous,"Cher client,
Vous avez de nouvelles activités sur votre compte Dropbox.
Consultez-les ici : https://dropbox.com/notifications
Gérez vos préférences de notification dans vos paramètres.
Dropbox",Dropbox,service@dropbox.com,,pass,none,none,,1,1,0,notification,0
Votre compte Amazon a été limité,"Cher client,
Nous avons temporairement limité votre compte suite à une activité inhabituelle. Pour rétablir l'accès complet, confirmez vos informations.
Vérifiez votre compte : https://amazon.xyz/login
Attention : sans confirmation sous 24h, votre compte sera définitivement fermé.
Service Client Amazon",Amazon Service,admin@login149.cf,info@auth-74.icu,none,fail,fail,,0,1,1,account,1
Bulletin de paie - signature requise,"Cher client,
Dans le cadre de la mise à jour de ntore système de paie, merci de confirmer vos coordonnées bancaires (RIB / IBAN) avant la fin de la journée.
Accédez au formulaire sécurisé : http://154.211.229.43/billing/pay
Ceci est obligatoire pour recevoir votre prochain salaire.
Service Ressources Humaines - Wayne",RH Wayne,no-reply@auth272.tk,info@login-46.info,none,none,none,,1,1,1,hr,1
Récapitulatif de votre activité,"Cher client,
Vous avez de nouvelles activités sur votre compte Dropbox.
Consultez-les ici : https://dropbox.com/fr/aide/notifications
Gérez vos préférences de notification dans vos paramètres.
Dropbox",Dropbox,alerts@dropbox.com,contact@dropbox.com,fail,none,none,,1,1,0,notification,0
Rappel : paiement de votre abonnement,"Bonjour, 

Nous n'avons pas pu prélever votre abonnement de 12,99€ ce mois-ci. Merci de vérifier votre moyen de paiement pour éviter une interruption de service.

Mettez à jour vos informations dans votre espace client : https://amazon.fr/compte/billing

Merci,
Amazon",Amazon,service@amazon.fr,,pass,pass,pass,,0,1,0,legit_invoice,0
Confirmez l'adresse de livraison de votre colis,"Madame, Monsieur,

Votre colis (suivi B681405829) est en attente. Des frais de douane de 0,99€ doivent être réglés pour finaliser la livraison.

Confirmez votre adresse et réglez les frais : https://amazon.fr/fr/aide/suivi/B681405829

Vous pouvez suivre votre colis à tout moment depuis votre espace client.

AMAZON",Amazon,no-reply@amazon.fr,,softfail,fail,none,,1,1,0,legit_delivery,0
Amazon : les tendances du mois,"Bonjour,

Voici les dernières actualités de Amazon. Nous avons sélectionné pour vous les tendances du mois qui pourraient vous intéresser.

Pour en savoir plus, visitez : https://amazon.fr

Vous recevez cet email car vous êtes abonné à notre newsletter. Se désabonner : https://amazon.fr/help/unsubscribe

L'équipe Amazon",Amazon,no-reply@amazon.fr,,none,pass,none,,1,1,0,newsletter,0
"Confirmation de paiement : 29,99€","Bonjour Julie,

Nous vous confirmons votre commande n°342-2934284 d'un montant de 29,99€. Votre paiement a bien été reçu.

Consultez le détail de votre commande dans votre espace client : https://spotify.com/mon-espace

Merci de votre confiance,
Spotify",Spotify,noreply@spotify.com,,pass,pass,none,,1,1,0,receipt,0
Découvrez les tendances du mois de Netflix,"Bonjour, 
Voici les dernières actualités de Netflix. Nous avons sélectionné pour vous les tendances du mois qui pourraient vous intéresser.
Pour en savoir plus, visitez : https://netflix.com/profil
Vous recevez cet email car vous êtes abonné à notre newsletter. Se désabonner : https://netflix.com/profil/unsubscribe
L'équipe Netflix",Netflix,no-reply@netflix.com,contact@netflix.com,none,pass,pass,photo.jpg,1,1,0,newsletter,0
RH: changement de votre RIB pour le salaire,"Cher client,
Dans le cadre de la mise à jour de notre système de paie, merci de confirmer vos coordonnées bancaires (RIB / IBAN) avant la fin de la journée.
Accédez au formulaire sécurisé : https://bit.ly/x8055
Ceci est obligatoire pour recevoir votre prochain salaire.
Service Ressources Humaines - Vandelay",RH Vandelay,comptabilite@docusign.net,,pass,pass,pass,,1,1,1,hr,1
Merci pour votre achat,"Bonjour Pierre,

Nous vous confirmons votre commande n°639-4490848 d'un montant de 9,99€. Votre paiement a bien été reçu.

Consultez le détail de votre commande dans votre espace client : https://paypal.com/support

Merci de votre confiance,
Paypal",Paypal,notifications@paypal.com,,pass,pass,pass,,1,1,0,receipt,0
Orange : nouveautés,"Bonjour,
Voici les dernières actualités de Orange. Nous avons sélectionné pour vous nouveautés qui pourraient vous intéresser.
Pour en savoir plus, visitez : https://orange.fr/mon-espace
Vous recevez cet email car vous êtes abonné à notre newsletter. Se désabonner : https://orange.fr/billing/unsubscribe
L'équipe Orange",Orange,noreply@orange.fr,,none,pass,pass,,0,1,0,newsletter,0
Action requise : sécurisez votre compte,"Cher utilisateur,

Nous avons détecté une connexion inhabituelle à votre compte. Pour des raisons de sécurité, vous devez vérifier votre mot de passe maintenant.

Cliquez ici pour réinitialiser : http://confirm-google.buzz/login

Si vous n'agissez pas sous 48h, votre compte sera verrouillé.

L'équipe de sécurité Google",Google Service,j.martin@stark-corp.com,,pass,pass,pass,,0,1,1,reset,1
Réinitialisation de votre mot de passe Google,"Bonjour,

Vous avez demandé à réinitialiser le mot de passe de votre compte Google. Pour des raisons de sécurité, ce lien expire dans 60 minutes.

Cliquez ici pour réinitialiser votre mot de passe : https://google.com/help/reset?token=897484

Si vous n'êtes pas à l'origine de cette demande, ignorez cet email, votre mot de passe restera inchangé.

L'équipe Google",Google,alerts@google.com,,pass,pass,pass,,0,1,0,legit_reset,0
Information Vous avez gagné un iPhone 15,"FÉLICITATIONS .

Votre adresse email a été tirée au sort pour recevoir une récompense exclusive d'une valeur de 750€ !

Réclamez votre gain avant expiration : https://amazon-support.support/reset

Offre limitée - cliquez maintenant, il ne reste que quelques heures !

L'équipe des récompenses",Service Récompenses,no-reply@yahoo.com,,pass,none,none,,0,1,1,prize,1
Document RH confidentiel à valider,"Hello,

Dans le cadre de la mise à jour de notre système de paie, merci de confirmer vos coordonnées bancaires (RIB / IBAN) avant la fin de la journée.

Accédez au formulaire sécurisé : https://web-docusign.xyz/account/update

Ceci est obligatoire pour recevoir votre prochain salaire.

Service Ressources Humaines - Soylent",RH Soylent,no-reply@account397.ga,,softfail,fail,none,,0,1,1,hr,1
Reprogrammez votre livraison,"Madame, Monsieur,

Votre colis n'a pas pu être livré en raison d'une adresse incomplète. Des frais de réexpédition de 2,50€ sont requis pour reprogrammer la livraison.

Confirmez votre adresse et payez les frais ici : https://1aposte.tk/secure/confirm

Sans action sous 72h, votre colis sera retourné à l'expéditeur.

LAPOSTE Livraison",Laposte Service,service@hotmail.fr,,none,fail,none,,1,1,1,delivery,1
Document RH confidentiel à valider,"Hello,
Dans le cadre de la mise à jour de notre système de paie, merci de confirmer vos coordonnées bancaires (RIB / IBAN) avant la fin de la journée.
Accédez au formulaire sécurisé : http://secure-docusign.click/espace-client
Ceci est obligatoire pour recevoir votre prochain salaire.
Service Ressources Humaines - Umbrella",RH Umbrella,info@docusign-login.com,contact@id-3.info,fail,none,fail,,1,1,1,hr,1
Récapitulatif de votre activité,"Bonjour,
Vous avez de nouvelles activités sur votre compte Linkedin.
Consultez-les ici : https://linkedin.com/mon-espace/notifications
Gérez vos préférences de notification dans vos paramètres.
Linkedin",Linkedin,info@linkedin.com,,pass,pass,pass,tableau.xlsx,0,1,0,notification,0
Votre commande a été expédiée,"Bonjour, 

Votre colis (n° de suivi B709290047) a été expédié et sera livré sous 2 à 3 jours ouvrés.

Suivez votre colis : https://laposte.fr/orders/track

Cordialement,
LAPOSTE",Laposte,alerts@laposte.fr,,pass,none,pass,,1,1,0,shipping,0
Rappel: réunion à 14h,"Madame, Monsieur,

Vous êtes invité à la réunion suivante :

Sujet : Comité de pilotage
Date : 7/01/2026 à 17h00
Lieu : Bureau open space

Merci de confirmer votre présence.

Emily",Emily Johnson,emily.johnson@globex.com,contact@globex.com,softfail,fail,none,,1,1,0,calendar,0
"Votre remboursement de 128,50€ est disponible","FÉLICITATIONS !!!

Votre adresse email a été tirée au sort pour recevoir une récompense exclusive d'une valeur de 1000€ !

Réclamez votre gain avant expiration : http://187.101.166.128/facture/regler

Offre limitée - cliquez maintenant, il ne reste que quelques heures !

L'équipe des récompenses",Service Récompenses,noreply@gmail.com,contact@verify-39.ml,fail,none,fail,,1,1,1,prize,1
Expédition confirmée,"Hello,

Votre colis (n° de suivi H841744591) a été expédié et sera livré sous 2 à 3 jours ouvrés.

Suivez votre colis : https://chronopost.fr/billing/track

Cordialement,
CHRONOPOST",Chronopost,noreply@chronopost.fr,,pass,none,pass,,0,1,0,shipping,0
[Laposte] Votre colis n'a pas pu être livré,"Cher client,

Votre colis n'a pas pu être livré en raison d'une adresse incomplète. Des frais de réexpédition de 0,99€ sont requis pour reprogrammer la livraison.

Confirmez votre adresse et payez les frais ici : https://laposte-france.net/login

Sans action sous 72h, votre colis sera retourné à l'expéditeur.

LAPOSTE Livraison",Laposte Service,alert@1aposte.ml,,none,pass,none,,0,1,1,delivery,1
